Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-19T13:40:20Z
LapTime [s],248.563675
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.270,248.564,0,249.87,6886.46,100.00,0.00,0.30,5,-171.71,-8.78,55.61
14.173,248.564,0,250.91,6922.44,98.80,0.00,0.28,5,-177.85,-8.81,77.00
14.173,248.564,0,250.97,6927.20,98.32,0.00,0.23,5,-178.23,-8.80,78.35
14.173,248.564,0,250.97,6927.20,98.32,0.00,0.23,5,-178.23,-8.80,78.35
14.173,248.564,0,251.03,6937.75,97.56,0.00,0.16,5,-178.61,-8.80,79.69
14.173,248.564,0,251.11,6921.40,96.34,0.00,0.10,5,-178.99,-8.80,81.03
14.173,248.564,0,251.11,6921.40,96.34,0.00,0.10,5,-178.99,-8.80,81.03
28.106,248.564,0,251.16,6930.32,94.55,0.00,0.07,5,-179.37,-8.80,82.37
28.106,248.564,0,251.23,6926.08,92.31,0.00,0.04,5,-179.75,-8.79,83.71
28.106,248.564,0,251.23,6926.08,92.31,0.00,0.04,5,-179.75,-8.79,83.71
28.106,248.564,0,251.30,6921.88,89.77,0.00,0.05,5,-180.13,-8.79,85.06
28.106,248.564,0,251.30,6921.88,89.77,0.00,0.05,5,-180.13,-8.79,85.06
28.106,248.564,0,251.34,6925.96,86.81,0.00,0.07,5,-180.52,-8.79,86.40
28.106,248.564,0,251.39,6916.40,83.64,0.00,0.08,5,-180.90,-8.79,87.74
28.106,248.564,0,251.39,6916.40,83.64,0.00,0.08,5,-180.90,-8.79,87.74
28.106,248.564,0,251.42,6909.67,79.20,0.00,0.06,5,-181.28,-8.79,89.09
28.106,248.564,0,251.42,6909.67,79.20,0.00,0.06,5,-181.28,-8.79,89.09
28.106,248.564,0,251.41,6911.46,73.45,0.00,0.05,5,-181.66,-8.79,90.43
28.106,248.564,0,251.41,6896.56,66.51,0.00,0.06,5,-182.04,-8.79,91.77
28.106,248.564,0,251.41,6896.56,66.51,0.00,0.06,5,-182.04,-8.79,91.77
28.106,248.564,0,251.36,6886.45,58.93,2.40,0.05,5,-182.42,-8.79,93.12
28.106,248.564,0,251.36,6886.45,58.93,2.40,0.05,5,-182.42,-8.79,93.12
28.106,248.564,0,251.23,6880.19,51.26,5.02,0.02,5,-182.80,-8.79,94.46
42.047,248.564,0,251.06,6863.37,43.83,8.06,0.00,5,-183.18,-8.79,95.80
42.047,248.564,0,251.06,6863.37,43.83,8.06,0.00,5,-183.18,-8.79,95.80
42.047,248.564,0,250.81,6853.13,36.99,10.19,-0.04,5,-183.56,-8.79,97.15
42.047,248.564,0,250.81,6853.13,36.99,10.19,-0.04,5,-183.56,-8.79,97.15
42.047,248.564,0,250.52,6843.24,30.77,12.39,-0.06,5,-183.94,-8.80,98.49
42.047,248.564,0,250.18,6826.34,25.69,14.18,-0.05,5,-184.32,-8.80,99.82
42.047,248.564,0,250.18,6826.34,25.69,14.18,-0.05,5,-184.32,-8.80,99.82
42.047,248.564,0,249.82,6808.47,20.45,16.05,-0.02,5,-184.69,-8.79,101.16
42.047,248.564,0,249.82,6808.47,20.45,16.05,-0.02,5,-184.69,-8.79,101.16
42.047,248.564,0,249.41,6787.40,15.62,17.39,0.05,5,-185.07,-8.79,102.49
42.047,248.564,0,249.00,6763.09,11.05,19.32,0.15,5,-185.45,-8.79,103.83
42.047,248.564,0,249.00,6763.09,11.05,19.32,0.15,5,-185.45,-8.79,103.83
42.047,248.564,0,248.53,6749.13,6.79,21.44,0.29,5,-185.82,-8.79,105.16
42.047,248.564,0,248.53,6749.13,6.79,21.44,0.29,5,-185.82,-8.79,105.16
42.047,248.564,0,248.05,6731.31,3.03,23.25,0.45,5,-186.20,-8.79,106.48
42.047,248.564,0,247.54,6712.62,0.14,24.89,0.63,5,-186.57,-8.79,107.81
42.047,248.564,0,247.54,6712.62,0.14,24.89,0.63,5,-186.57,-8.79,107.81
